"term","meaning_ja","pos","level","entry_type","example_sentence","example_translation_ja"
"놀라다","驚く","verb","2","word","깜짝 ‹놀랐›어요!","びっくり‹しました›！"
"걱정하다","心配する","verb","2","word","시험을 ‹걱정해›요.","試験を‹心配して›います。"
"기대하다","期待する","verb","3","word","내일이 ‹기대돼›요.","明日が‹楽しみ（期待）›です。"
"후회하다","後悔する","verb","4","word","나중에 ‹후회하›지 마세요.","後で‹後悔›しないでください。"
"용서하다","許す","verb","4","word","친구를 ‹용서했›어요.","友達を‹許し›ました。"
"비교하다","比較する","verb","4","word","가격을 ‹비교해› 보고 사세요.","価格を‹比較し›てから買ってください。"
"선택하다","選ぶ","verb","3","word","메뉴를 ‹선택하›세요.","メニューを‹選んで›ください。"
"결정하다","決める","verb","3","word","갈지 말지 ‹결정했›어요?","行くか行かないか‹決め›ましたか？"
"준비하다","準備する","verb","2","word","파티를 ‹준비해›요.","パーティーを‹準備し›ます。"
"정리하다","片付ける","verb","2","word","방을 ‹정리해›요.","部屋を‹片付け›ます。"
"청소하다","掃除する","verb","2","word","같이 ‹청소할›까요?","一緒に‹掃除›しましょうか？"
"빨래하다","洗濯する","verb","2","word","옷을 ‹빨래했›어요.","服を‹洗濯し›ました。"
"요리하다","料理する","verb","2","word","맛있는 ‹요리를 해› 줘요.","美味しい‹料理を作って›くれます。"
"설명하다","説明する","verb","3","word","다시 ‹설명해› 주세요.","もう一度‹説明して›ください。"
"이해하다","理解する","verb","2","word","잘 ‹이해했›어요.","よく‹理解し›ました。"
"동의하다","同意する","verb","4","word","저도 ‹동의해›요.","私も‹同意（賛成）›します。"
"반대하다","反対する","verb","4","word","그 의견에 ‹반대해›요.","その意見に‹反対›します。"
"논의하다","議論する","verb","5","word","해결책을 ‹논의했›어요.","解決策を‹議論し›ました。"
"연습하다","練習する","verb","2","word","발음을 ‹연습해›요.","発音を‹練習し›ます。"
"시도하다","試みる","verb","3","word","새로운 것을 ‹시도해› 보세요.","新しいことを‹試してみて›ください。"
"포기하다","諦める","verb","3","word","절대 ‹포기하›지 마세요.","絶対に‹諦め›ないでください。"
"성공하다","成功する","verb","3","word","결국 ‹성공했›어요!","ついに‹成功し›ました！"
"실패하다","失敗する","verb","3","word","‹실패해›도 괜찮아요.","‹失敗し›ても大丈夫です。"
"이기다","勝つ","verb","3","word","우리 팀이 ‹이겼›어요!","私たちのチームが‹勝ち›ました！"
"지다","負ける","verb","3","word","게임에서 ‹졌›어요.","ゲームで‹負け›ました。"
"좋다","良い","adj","1","word","날씨가 ‹좋아요›.","天気が‹良いです›。"
"크다","大きい","adj","1","word","방이 ‹커요›.","部屋が‹大きいです›。"
"작다","小さい","adj","1","word","가방이 ‹작아요›.","かばんが‹小さいです›。"
"나쁘다","悪い","adj","1","word","기분이 ‹나빠›요.","気分が‹悪い›です。"
"맛있다","おいしい","adj","1","word","이 김밥은 참 ‹맛있›네요.","このキンパは本当に‹美味しい›ですね。"
"맛없다","まずい","adj","2","word","이 음식은 너무 ‹맛없›어요.","この料理は‹まずい›です。"
"덥다","暑い","adj","1","word","오늘 날씨が 정말 ‹더워›요.","今日の天気は本当に‹暑い›です。"
"춥다","寒い","adj","1","word","밖이 너무 ‹추워›요.","外がとても‹寒い›です。"
"따뜻하다","暖かい","adj","2","word","방이 ‹따뜻해›요.","部屋が‹暖かい›です。"
"시원하다","涼しい","adj","2","word","바람이 참 ‹시원해›요.","風が本当に‹涼しい›です。"
"밝다","明るい","adj","2","word","방이 아주 ‹밝네›요.","部屋がとても‹明るい›ですね。"
"어둡다","暗い","adj","2","word","길이 ‹어두워›요.","道が‹暗い›です。"
"깨끗하다","きれいだ","adj","2","word","방이 참 ‹깨끗해›요.","部屋がとても‹きれい›です。"
"더럽다","汚い","adj","2","word","손이 ‹더러워›요.","手が‹汚い›です。"
"쉽다","簡単だ","adj","2","word","한국어는 ‹쉬워›요.","韓国語は‹簡単›です。"
"어렵다","難しい","adj","2","word","문법이 ‹어려워›요.","文法が‹難しい›です。"
"빠르다","速い","adj","2","word","발이 정말 ‹빨라›요.","足が本当に‹速い›です。"
"느り다","遅い","adj","2","word","걸음이 ‹느려›요.","歩みが‹遅い›です。"
"가깝다","近い","adj","2","word","학교가 ‹가까워›요.","学校が‹近い›です。"
"멀다","遠い","adj","2","word","집이 너무 ‹멀›어요.","家がとても‹遠い›です。"
"많다","多い","adj","1","word","사람이 아주 ‹많›아요.","人がとても‹多い›です。"
"적다","少ない","adj","2","word","설탕을 ‹적게› 넣으세요.","砂糖を‹少なめに›入れてください。"
"비싸다","高い","adj","1","word","이 가방은 너무 ‹비싸›요.","このバッグは‹高すぎ›ます。"
"싸다","安い","adj","1","word","사과가 ‹싸›요.","りんごが‹安い›です。"
"무겁다","重い","adj","2","word","이 가방은 너무 ‹무거워›요.","このバッグは‹重すぎ›ます。"
"가볍다","軽い","adj","2","word","휴대폰이 참 ‹가벼워›요.","携帯電話が本当に‹軽い›です。"
"넓다","広い","adj","2","word","거실이 ‹넓어›요.","居間が‹広い›です。"
"좁다","狭い","adj","2","word","방이 너무 ‹좁›아요.","部屋が‹狭すぎ›ます。"
"높다","高い","adj","2","word","산이 아주 ‹높›아요.","山がとても‹高い›です。"
"낮다","低い","adj","3","word","온도가 ‹낮›아요.","温度が‹低い›です。"
"깊다","深い","adj","3","word","강이 ‹깊›으니 조심하세요.","川が‹深い›ので気をつけてください。"
"얕다","浅い","adj","4","word","물이 ‹얕›아서 건너기 쉬워요.","水が‹浅い›ので渡りやすいです。"
"부드럽다","柔らかい","adj","3","word","이 빵은 참 ‹부드러워›요.","このパンは本当に‹柔らかい›です。"
"딱딱하다","硬い","adj","3","word","떡이 ‹딱딱해›졌어요.","餅が‹硬く›なりました。"
"부럽다","羨ましい","adj","3","word","친구가 정말 ‹부러워›요.","友達が本当に‹羨ましい›です。"
"부끄럽다","恥ずかしい","adj","3","word","실수를 해서 ‹부끄러워›요.","ミスをして‹恥ずかしい›です。"
"외롭다","寂しい","adj","3","word","가끔 ‹외롭›다는 생각이 들어요.","時々‹寂しい›なと思います。"
"행복하다","幸福だ","adj","2","word","지금 너무 ‹행복해›요.","今とても‹幸せ›です。"
"슬프다","悲しい","adj","2","word","헤어질 때 너무 ‹슬펐›어요.","別れる時とても‹悲しかった›です。"
"무섭다","怖い","adj","2","word","밤길이 ‹무서워›요.","夜道が‹怖い›です。"
"재미있다","面白い","adj","1","word","이 영화 ‹재미있›어요.","この映画‹面白い›です。"
"재미없다","つまらない","adj","2","word","게임이 ‹재미없›어요.","ゲームが‹つまらない›です。"
"바쁘다","忙しい","adj","2","word","오늘은 너무 ‹바빠›요.","今日はとても‹忙しい›です。"
"편하다","楽だ","adj","3","word","운동화が 참 ‹편해›요.","運動靴が本当に‹楽›です。"
"불편하다","不便だ","adj","3","word","의자가 ‹불편해›요.","椅子が‹不便›です。"
"빨리","早く","adv","1","word","‹빨리› 와요.","‹早く›来てください。"
"천천히","ゆっくり","adv","1","word","‹천천히› 말해 주세요.","‹ゆっくり›話してください。"
"항상","いつも","adv","2","word","‹항상› 고마워요.","‹いつも›ありがとう。"
"자주","よく","adv","2","word","여기에 ‹자주› 와요.","ここに‹よく›来ます。"
"가끔","時々","adv","2","word","‹가끔› 한국 음식을 먹어요.","‹時々›韓国料理を食べます。"
"거의","ほとんど","adv","3","word","숙제를 ‹거의› 다 했어요.","宿題を‹ほとんど›終えました。"
"전혀","全然","adv","3","word","‹전혀› 모르겠어요.","‹全然›分かりません。"
"아주","とても","adv","1","word","음식이 ‹아주› 맛있어요.","料理が‹とても›おいしいです。"
"정말","本当に","adv","2","word","‹정말› 맛있어요.","‹本当に›おいしいです。"
"너무","とても（過度に）","adv","2","word","‹너무› 피곤해요.","‹とても›疲れています。"
"조금","少し","adv","1","word","‹조금› 매워요.","‹少し›辛いです。"
"많이","たくさん","adv","1","word","‹많이› 드세요.","‹たくさん›召し上がってください。"
"같이","一緒に","adv","1","word","우리 ‹같이› 가요.","私たち‹一緒›に行きましょう。"
"혼자","一人で","adv","2","word","영화를 ‹혼자› 봐요.","映画を‹一人で›見ます。"
"벌써","もう","adv","2","word","시간이 ‹벌써› 이렇게 됐네요.","時間が‹もう›こんなになったんですね。"
"아직","まだ","adv","2","word","‹아직› 준비가 안 됐어요.","‹まだ›準備ができていません。"
"곧","すぐ","adv","2","word","버스가 ‹곧› 올 거예요.","バスが‹すぐ›来るはずです。"
"나중에","あとで","adv","2","word","‹나중에› 만나요.","‹後で›会いましょう。"
"먼저","先に","adv","2","word","‹먼저› 가세요.","‹先に›行ってください。"
"바로","すぐに","adv","2","word","지금 ‹바로› 갈게요.","今‹すぐ›行きます。"
"특히","特に","adv","3","word","과일을 좋아하는데 ‹특히› 사과를 좋아해요.","果物が好きですが、‹特に›りんごが好きです。"
"보통","普通","adv","3","word","‹보통› 7시에 일어나요.","‹普通›7時に起きます。"
"계속","ずっと（継続して）","adv","4","word","‹계속› 공부하고 있어요.","‹ずっと›勉強しています。"
"만약","もし","adv","4","word","‹만약› 시간이 있으면 연락해 주세요.","‹もし›時間があれば連絡してください。"
"반드시","必ず","adv","5","word","약은 ‹반드시› 식후에 드세요.","薬は‹必ず›食後に飲んでください。"
"대체로","概して","adv","6","word","‹대체로› 사람들은 친절해요.","‹概して›人々は親切です。"
"은","主題助詞（は）","particle","2","word","이 책‹은› 제 것이에요.","この本‹は›私のものです。"
"는","主題助詞（は）","particle","1","word","저‹는› 학생입니다.","私‹は›学生です。"
"가","主格助詞（が）","particle","1","word","사과‹가› 맛있어요.","りんご‹が›おいしいです。"
"이","主格助詞（が）","particle","1","word","물‹이› 시원해요.","水‹が›冷たいです。"
"을","目的格助詞（を）","particle","1","word","밥‹을› 먹어요.","ご飯‹を›食べます。"
"를","目的格助詞（を）","particle","1","word","노래‹를› 불러요.","歌‹を›歌います。"
"에","場所・時間の助詞（に）","particle","1","word","집‹에› 있어요.","家‹に›います。"
"에서","場所の助詞（で）","particle","1","word","학교‹에서› 공부해요.","学校‹で›勉強します。"
"로","へ・で","particle","2","word","교실‹로› 들어가세요.","教室‹へ›入ってください。"
"의","〜の（所有・連体）","particle","2","word","친구‹의› 집에 갔어요.","友達‹の›家に行きました。"
"와","と","particle","2","word","커피‹와› 빵을 먹어요.","コーヒー‹と›パンを食べます。"
"과","と","particle","2","word","친구‹과› 만나요.","友達‹と›会います。"
"와/과","〜と（並列）","particle","2","word","친구‹와› 영화관에 갔어요.","友達‹と›映画館に行きました。"
"도","も","particle","2","word","저‹도› 가고 싶어요.","私‹も›行きたいです。"
"만","だけ","particle","2","word","물‹만› 마셔요.","水‹だけ›飲みます。"
"부터","から","particle","2","word","몇 시‹부터› 시작해요?","何時‹から›始まりますか？"
"까지","まで","particle","2","word","여기‹까지› 오세요.","ここ‹まで›来てください。"
"에게","に（人へ）","particle","3","word","동생‹에게› 선물을 줬어요.","弟‹に›プレゼントをあげました。"
"한테","に（口語）","particle","2","word","누구‹한테› 물어볼까요?","誰‹に›聞きましょうか？"
"나","私","pronoun","1","word","‹나›는 한국어 학생이야.","‹私›は韓国語の学生だよ。"
"저","私（謙譲）","pronoun","1","word","‹저›는 일본 사람입니다.","‹私›は日本人です。"
"우리","私たち","pronoun","1","word","‹우리› 같이 놀아요.","‹私たち›一緒に遊びましょう。"
"그","彼","pronoun","2","word","‹그›는 정말 친절해요.","‹彼›は本当に親切です。"
"그녀","彼女","pronoun","2","word","‹그녀›는 제 선생님이에요.","‹彼女›は私の先生です。"
"이것","これ","pronoun","1","word","‹이것›은 뭐예요?","‹これ›は何ですか？"
"그것","それ","pronoun","1","word","‹그것› 좀 보여 주세요.","‹それ›をちょっと見せてください。"
"저것","あれ","pronoun","1","word","‹저것›은 얼마예요?","‹あれ›はいくらですか？"
"무엇","何","pronoun","1","word","‹무엇›을 해요?","‹何›をしますか？"
"누구","誰","pronoun","1","word","‹누구›를 기다려요?","‹誰›を待っていますか？"
"어디","どこ","pronoun","1","word","집이 ‹어디›예요?","家は‹どこ›ですか？"
"이","この","determiner","1","word","‹이› 책은 재미있어요.","‹この›本は面白いです。"
"몇","いくつの","determiner","3","word","사과 ‹몇› 개 드릴까요?","りんご‹何›個あげましょうか？"
"어느","どの","determiner","3","word","‹어느› 나라에서 왔어요?","‹どの›国から来ましたか？"
"다른","別の","determiner","3","word","‹다른› 색깔은 없어요?","‹別の›色はありませんか？"
"같은","同じ","determiner","3","word","우리는 ‹같은› 학교에 다녀요.","私たちは‹同じ›学校に通っています。"
"모든","すべての","determiner","4","word","‹모든› 준비가 끝났어요.","‹すべての›準備が終わりました。"
"그리고","そして","other","1","word","빵을 사고 ‹그리고› 우유도 샀어요.","パンを買って、‹そして›牛乳も買いました。"
"하지만","しかし","other","2","word","가고 싶어요. ‹하지만› 시간이 없어요.","行きたいです。‹しかし›時間がありません。"
"그래서","それで","other","2","word","비가 와요. ‹그래서› 우산을 가져왔어요.","雨が降っています。‹それで›傘を持ってきました。"
"아/어도 되다","〜してもよい","other","3","phrase","여기에 ‹앉아도 돼요›?","ここに‹座ってもいいですか›？"
"아/어서","〜して（理由/順接）","other","3","phrase","‹늦어서› 죄송합니다.","‹遅れて›すみません。"
"아","ああ","interjection","1","word","‹아›, 그렇군요.","‹あ›、そうなんですね。"
"어","えー","interjection","1","word","‹어›, 이게 뭐지?","‹おや›、これは何だ？"
"응","うん","interjection","1","word","‹응›, 나도 알아.","‹うん›、私も知ってるよ。"
"아이고","あいご","interjection","2","word","‹아이고›, 깜빡했네요.","‹アイゴ›、うっかりしていました。"
"어머","おや","interjection","2","word","‹어머›, 정말 예쁘네요!","‹あら›、本当にきれいですね！"
"와","わあ","interjection","1","word","‹와›, 대단해요!","‹わあ›、すごいですね！"
"다행이다","よかった（幸いだ）","interjection","4","word","비가 안 와서 ‹다행이에요›.","雨が降らなくて‹よかったです›。"
"손을 씻다","手を洗う","verb","1","phrase","밥 먹기 전에 ‹손을 씻어요›.","ご飯を食べる前に‹手を洗います›。"
"시간이 나다","時間ができる","verb","3","phrase","주말에 ‹시간이 나면› 같이 가요.","週末に‹時間ができたら›一緒に行きましょう。"
"마음에 들다","気に入る","verb","3","phrase","이 옷이 ‹마음에 들어요›.","この服が‹気に入りました›。"
"잠자리에 들다","床に就く","verb","3","phrase","일찍 ‹잠자리에 들›었어요.","早く‹床に就き›ました。"
"출근하다","出勤する","verb","2","phrase","9시에 ‹출근해›요.","9時に‹出勤し›ます。"
"퇴근하다","退勤する","verb","2","phrase","6시에 ‹퇴근했›어요.","6時に‹退勤し›ました。"
"전화하다","電話する","verb","1","phrase","이따가 ‹전화할›게요.","後で‹電話し›ます。"
"인사하다","あいさつする","verb","2","phrase","선생님께 ‹인사했›어요.","先生に‹挨拶し›ました。"
"사과하다","謝る","verb","3","phrase","친구에게 ‹사과했›어요.","友達に‹謝り›ました。"
"축하하다","祝う","verb","3","phrase","생일을 ‹축하해›요!","誕生日お‹めでとう›！"
"약속하다","約束する","verb","3","phrase","다시는 안 늦기로 ‹약속했›어요.","二度と遅れないと‹約束し›ました。"
"늦다","遅れる","verb","1","word","학교에 ‹늦›지 마세요.","学校に‹遅れ›ないでください。"
"귀가 얇다","人の言いなりだ","other","5","idiom","그는 ‹귀가 얇아›서 잘 속아요.","彼は‹耳が薄い（人の言葉を信じやすい）›ので騙されやすいです。"
"코가 높다","鼻が高い","other","5","idiom","‹코가 높›은 사람이에요.","‹鼻が高い（プライドが高い）›人です。"
"손이 크다","気前がいい","other","5","idiom","우리 할머니는 ‹손이 크›세요.","うちのおばあちゃんは‹手が大きい（気前がいい）›です。"
"눈치가 빠르다","空気が読める","other","5","idiom","동생은 ‹눈치가 빨라›요.","妹（弟）は‹勘が鋭い（空気が読める）›です。"
"입이 가볍다","口が軽い","other","5","idiom","그 사람은 ‹입이 가벼우›니 조심하세요.","あの人は‹口が軽い›ので気をつけてください。"
"입이 무겁다","口が堅い","adj","5","idiom","그는 ‹입이 무거워서› 비밀을 잘 지켜요.","彼は‹口が堅くて›秘密をよく守ります。"
"눈이 높다","目が肥えている","adj","5","idiom","그 사람은 ‹눈이 높아서› 고르기 어려워요.","その人は‹目が肥えていて›選ぶのが難しいです。"
"발이 넓다","顔が広い","adj","6","idiom","선배는 ‹발이 넓어서› 아는 사람이 많아요.","先輩は‹顔が広くて›知り合いが多いです。"
